"NormalResidualsPvalue","NormalResidualsTestBinary","R2_Tjur","Animal_ID"
0.0424864942284598,"non-normal",0.0129917446339374,"Fallow02_F"
0.341549329150069,"normal",NA,"Fallow07_F"
0.936323287639477,"normal",0.00487341850305963,"Roe01_F"
0.887920637333634,"normal",0.0214396472343942,"Roe02_F"
0.681336856984942,"normal",0.00356518988326596,"Roe03_M"
0.628591257346891,"normal",0.0142277917399828,"Roe04_F"
0.790451956522185,"normal",0.00681995673817926,"Roe05_F"
0.607547224116831,"normal",0.0306366453667477,"Roe06_F"
0.356180827130384,"normal",4.62827650687114e-05,"Roe07_F"
0.863806207295743,"normal",0.0103368440237281,"Roe08_M"
0.355895305404666,"normal",0.0366498168192398,"Roe09_M"
0.854718191603428,"normal",0.0212679528377325,"Roe10_F"
0.236295559102911,"normal",0.00477517260264841,"Roe11_F"
0.473964136067343,"normal",0.0191376892306751,"Roe12_F"
0.69870076396088,"normal",0.0220499312141632,"Roe13_F"
0.674472034468992,"normal",0.0601339647195761,"Roe14_M"
0.987060449583283,"normal",0.020007658028614,"Roe15_F"
