Species,Animal_ID,collar owners,Sex,Repro status1,Repro date1,Collar_ID,Collar ID,VHF,remote data code,remote drop off code,deploy_location,Patch ID,Color code (top-bottom),Schedule,Accelerometer,Collar deploy date,Collar drop-off initiate,collar recovery date,date death_fail_removal,Cause of death,Collar Model,Download Option,Drop-Off Option,CollarBeltingWidth,Est neck size cm,Iridium housing protection,Neck Shape,Estimated Collar Weight (g),Collar/Body Weight Ratio,Neck Size (cm),Body condition score (x/10),Hock toe length (cm),Est Weight (kg),Capture team,Time caught,Time released,Time in net,Struggling?,Panting?,Vocalising?,In box?,Time in box,Time out box,Processing start,Processing finish,Processing time,Struggling?,Panting?,Vocalising?,In box?,Time in box,Time out box,HR start,HR 5 min,HR 10 min,HR 15 min,HR 20 min,HR 25 min,RR start,RR 5 min,RR 10 min,RR 15 min,RR 20 min,RR 25 min,Temp start,Temp 5 min,Temp 10 min,Temp 15 min,Temp 20 min,Temp 25 min,Injuries/treatment,Drug ,Dose,Route,Time,Given by,Blood sample?,Ear tag left?,Deer number,Ear tag right?,Ear notch?,Tissue ethanol & labelled?,Notes
Roe deer,R11,UoG,F,,,7361,T3HS-7361,169.1,271110,147018,Well House Wood,1074,yellow-red,S6,,04-Mar-23,,10-Jul-23,12-May-23,unknown. Collar found in field with no bones near by. Possible poaching or complete scavenge of carcass,Light,Iridium,Yes,30 mm reinforced,31,No,Round,276,0.01104,28,,34,,JB + MG,12:25,12:35,10 min,a little,No,a little,Yes,12:35,16:23,16:23,16:36,13 min,a lot,Yes,a lot,No,,,184,164,160,,,,64,50,56,,,,39.5,36.3,38.5,,,,NA,ACP,0.75 ml ,I/M,12:30,MG,Yes,Yes,D13,Yes,Yes,Yes,"Some struggling, released without incidence. Serum & EDTA full. Wep - only small sample"
Roe deer,R12,UoG,F,,,7362,T3HS-7362,169.11,223308,194830,Well House Wood,1074,blue-red,S2?,,04-Mar-23,,,23-Jul-23,Unknown. Possible collar/battery fail. Voltage very low in last day,Light,Iridium,Yes,30 mm reinforced,31,No,Round,276,0.01104,24,7,24,,JB + MG,13:15,13:20,5 min,a little,No,No,Yes,13:20,16:06,16:06,16:18,12 min,a little,No,No,No,,,88,84,64,,,,32,24,24,,,,38.3,38.2,38.2,,,,NA,ACP,0.75 ml,I/M,13:18,MG,Yes,Yes,D12,Yes,Yes,Yes,Slight struggle. Released without incidence 
Roe deer,R13,UoG,F,,,7363,T3HS-7363,169.12,270724,147400,Moss of air,1716,white-red,S3,,21-Jan-23,30-Oct-23,,30-Oct-23,,Light,Iridium,Yes,30 mm reinforced,31,No,Round,276,0.01104,27,7,32,,JB  ,11:15,,5 min,a little,Yes,a little,,,,,,,a little,Yes,a little,Yes,15 min total,,,,,,,,24,28,28,32,20,28,38.1,37.9,37.9,38.9,38.7,38.3,,ACP,0.75 ml,I/M,11:18,JB,,Yes,D3,,,,
Roe deer,R14,UoG,M,,,7364,T3HS-7364,169.13,259199,158913,Well House Wood,1074,yellow-yellow,?,,04-Mar-23,,,02-Aug-23,Unknown. Possible collar/battery fail. Voltage somewhat low (2.4v) in last week,Light,Iridium,Yes,30 mm reinforced,31,No,Round,276,0.01104,27,6,36,,JB + MG ,12:25,12:35,5 min,a little,No,No,Yes,12:37,15:33,15:33,15:49,16 min,a little,No,No,No,,,160,146,72,68,,,28,44,32,44,,,39.9,39.5,37.5,39.5,,,small scratch on the left antler,ACP,0.75 ml,I/M,12:28,JB,Yes,Yes,D11,Yes,Yes,,Processing  very smooth. Had to wait for box to arrive
Roe deer,R15,UoG,F,fawn,Jul-23,7365,T3HS-7365,169.14,272394,145742,Moss of air,1716,white-blue,S3,,21-Jan-23,30-Oct-23,,01-Nov-23,,Light,Iridium,Yes,30 mm reinforced,31,No,Round,276,0.01104,24,8,33,18-20,JB + TM,11:33,,5 min,No,No,No,No,,,,12:04,,No,No,No,No,,,,,,,,,,88,64,52,,,40,40.8,40.6,39.9,,,,ACP,0.75 ml,I/M,11:36,JB,Yes,Yes,D2,Yes,Yes,Yes,"Released 12:04, processed immediately, not boxed"
Fallow deer (female),F1,UoG,,,,7366,T4HS-7366,169.15,231479,186619,,,yellow-blue,F1MT,,,,,,,Small,Iridium,Yes,40 mm reinforced,36 cm,No,Round,552,0.012266667,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fallow deer (female),F2,UoG,F,,,7367,T4HS-7367,169.16,234062,184080,Bentley Wood,,grellow-blue,F1MT,,02-Feb-24,29-Mar-24,29-Mar-24,29-Mar-24,drop-off triggered,Small,Iridium,Yes,40 mm reinforced,36 cm,No,Round,552,0.012266667,36,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fallow deer (female),F3,UoG,,,,7368,T4HS-7368,169.17,247799,170297,,,red-red,,,,,,,,Small,Iridium,Yes,40 mm reinforced,36 cm,No,Round,552,0.012266667,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fallow deer (female),F4,UoG,,,,7369,T4HS-7369,169.18,229590,188576,,,red-yellow,,,,,,,,Small,Iridium,Yes,40 mm reinforced,36 cm,No,Round,552,0.012266667,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fallow deer (female),F5,UoG,,,,7370,T4HS-7370,169.19,250705,167445,,,blue-blue,,,,,,,,Small,Iridium,Yes,40 mm reinforced,36 cm,No,Round,552,0.012266667,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fallow deer (female),F6,UoG,,,,7371,T4HS-7371,169.2,235541,182615,,,yellow-yellow,,,,,,,,Small,Iridium,Yes,40 mm reinforced,36 cm,No,Round,552 g,1.20%,,,,45 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fallow deer (female),F7,UoG,F,,,7372,T4HS-7372,169.21,246355,171807,Holly Hatch,,white-white,,,15-Feb-24,01-Mar-24,26-Mar-24,01-Mar-24,shot by stalker on private RSPB land. Had collar-related injuries and apparent loss of condition,Small,Iridium,Yes,40 mm reinforced,36 cm,No,Round,552 g,1.20%,,,,45 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fallow deer (Male),F8,UoG,,,,7373,T4HS-7373,169.22,229907,188253,,,blue-yellow,,,,,,,,Small,Iridium,Yes,50 mm reinforced,46 cm,Yes,Round,664 g,1.00%,,,,65 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fallow deer (Male),F9,UoG,,,,7374,T4HS-7374,169.23,251026,167126,,,grellow-grellow,F1MT,,,,,,,Medium,Iridium,Yes,50 mm reinforced,46 cm,Yes,Round,860 g,1.30%,,,,65 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fallow deer (Male),F10,UoG,,,,7375,T4HS-7375,169.24,251989,166169,,,yellow-white,,,,,,,,Medium,Iridium,Yes,50 mm reinforced,46 cm,Yes,Round,860 g,1.30%,,,,65 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fallow deer (Male),F11,ForestResearch,,,,7444,T4HS-7444,169.25,210923,207313,,,,,,,,,,,,,,,36 cm,No,Round,552 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fallow deer (Male),F12,ForestResearch,,,,7445,T4HS-7445,169.26,270703,147541,,,yellow-red,,,,,,,,,,,,59 cm,Yes,Round,860 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fallow deer (Male),F13,ForestResearch,,,,7446,T4HS-7446,169.27,231471,186905,,,red,,,,,,,,,,,,59 cm,Yes,Round,860 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
