"Name","ID","Date","Time","Location","X","X.1","Latitude","Longitude","Temperature","X.2","Speed","Power","TidFix","nSats","nAlt","fHDOP","nActivity","datetime","Sex","Patch.ID","region","spp"
"T3HS-7351",300434066985790,2023-02-24,"00:00","//maps.google.com/maps?q=57.145760000000,-2.342633333333",NA,NA,57.14576,-2.342633,NA,NA,0,"3 V",30,7,NA,NA,";",2023-02-24 00:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-02-24,"06:00","//maps.google.com/maps?q=57.148058333333,-2.340040000000",NA,NA,57.148058,-2.34004,NA,NA,0,"3 V",30,7,NA,NA,";",2023-02-24 06:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-02-24,"12:00","//maps.google.com/maps?q=57.150581666667,-2.345728333333",NA,NA,57.150582,-2.345728,NA,NA,0,"3 V",30,7,NA,NA,";",2023-02-24 12:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-02-24,"18:00","//maps.google.com/maps?q=57.149391666667,-2.341871666667",NA,NA,57.149392,-2.341872,NA,NA,0,"3 V",40,13,NA,NA,";",2023-02-24 18:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-02-25,"00:00","//maps.google.com/maps?q=57.147405000000,-2.340203333333",NA,NA,57.147405,-2.340203,NA,NA,0,"3 V",50,12,NA,NA,";",2023-02-25 00:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-02-25,"06:00","//maps.google.com/maps?q=57.147986666667,-2.345258333333",NA,NA,57.147987,-2.345258,NA,NA,0,"3 V",41,14,NA,NA,";",2023-02-25 06:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-02-25,"12:00","//maps.google.com/maps?q=57.146813333333,-2.343115000000",NA,NA,57.146813,-2.343115,NA,NA,0,"3 V",42,14,NA,NA,";",2023-02-25 12:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-02-25,"18:00","//maps.google.com/maps?q=57.147096666667,-2.344518333333",NA,NA,57.147097,-2.344518,NA,NA,0,"3.06 V",30,8,NA,NA,";",2023-02-25 18:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-02-26,"00:00","//maps.google.com/maps?q=57.146640000000,-2.346911666667",NA,NA,57.14664,-2.346912,NA,NA,0,"3.06 V",39,15,NA,NA,";",2023-02-26 00:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-02-26,"06:00","//maps.google.com/maps?q=57.147225000000,-2.339518333333",NA,NA,57.147225,-2.339518,NA,NA,0,"3.06 V",43,14,NA,NA,";",2023-02-26 06:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-02-26,"12:00","//maps.google.com/maps?q=57.152405000000,-2.343266666667",NA,NA,57.152405,-2.343267,NA,NA,0,"3.06 V",42,10,NA,NA,";",2023-02-26 12:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-02-26,"18:00","//maps.google.com/maps?q=57.149161666667,-2.342960000000",NA,NA,57.149162,-2.34296,NA,NA,0,"3.06 V",38,11,NA,NA,";",2023-02-26 18:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-02-27,"00:00","//maps.google.com/maps?q=57.148071666667,-2.339335000000",NA,NA,57.148072,-2.339335,NA,NA,0,"3.06 V",30,8,NA,NA,";",2023-02-27 00:00:01,"F",1670,"Aberdeenshire","roe"
