"Animal_ID","variable","est","se","sig","variableType","colour","Animal_ID_colour"
"Roe12_F","Other",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe12_F</i>"
"Roe12_F","Distance to Woodland",-0.00970519313415599,0.00105168098472544,"Significant -","Distance","#E79559","<i style='color:#E79559'>Roe12_F</i>"
"Roe12_F","Distance to Hedges",-0.00257143105763422,0.000500722175599002,"Significant -","Distance","#E79559","<i style='color:#E79559'>Roe12_F</i>"
"Roe12_F","Road Crossing",-1.52672271825647,0.219838039552636,"Significant -","Other","#E79559","<i style='color:#E79559'>Roe12_F</i>"
"Roe12_F","sl_",0.00238071728057576,0.000568808054359771,"Significant +","Step","#B54D17","<i style='color:#B54D17'>Roe12_F</i>"
"Roe12_F","log sl_ ",-0.023034618654512,0.0646472667143765,"Not Significant","Step","#505050","<i style='color:#505050'>Roe12_F</i>"
"Roe12_F","cos ta_ ",-0.144781167762938,0.0458545721410872,"Significant -","Other","#E79559","<i style='color:#E79559'>Roe12_F</i>"
"Roe11_F","Evergreen Needleleaf Forest",1.98648063891853,0.734359258338975,"Significant +","Landuse","#B54D17","<i style='color:#B54D17'>Roe11_F</i>"
"Roe11_F","Cropland",-1.44170003713202,1.02091680743998,"Significant -","Landuse","#E79559","<i style='color:#E79559'>Roe11_F</i>"
"Roe11_F","Tall Grassland",1.77369107570751,0.735039192689864,"Significant +","Landuse","#B54D17","<i style='color:#B54D17'>Roe11_F</i>"
"Roe11_F","Short Grassland",0.327247445724504,19511.328530599,"Not Significant","Landuse","#505050","<i style='color:#505050'>Roe11_F</i>"
"Roe11_F","Open Shrubland",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe11_F</i>"
"Roe11_F","Barren",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe11_F</i>"
"Roe11_F","Permanent Wetland",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe11_F</i>"
"Roe11_F","Human Settlements",-16.051505877642,6008.39809215758,"Not Significant","Landuse","#505050","<i style='color:#505050'>Roe11_F</i>"
"Roe11_F","Other",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe11_F</i>"
"Roe11_F","Distance to Woodland",-0.00559052061123977,0.00140202576048927,"Significant -","Distance","#E79559","<i style='color:#E79559'>Roe11_F</i>"
"Roe11_F","Distance to Hedges",-0.00235704026882627,0.000604921830759932,"Significant -","Distance","#E79559","<i style='color:#E79559'>Roe11_F</i>"
"Roe11_F","Road Crossing",-17.9882613606613,1620.79508860473,"Not Significant","Other","#505050","<i style='color:#505050'>Roe11_F</i>"
"Roe11_F","sl_",0.00266403727453622,0.000659912839068723,"Significant +","Step","#B54D17","<i style='color:#B54D17'>Roe11_F</i>"
"Roe11_F","log sl_ ",-0.0858012881209373,0.0797869464401193,"Significant -","Step","#E79559","<i style='color:#E79559'>Roe11_F</i>"
"Roe11_F","cos ta_ ",0.125907964128611,0.0662880606277375,"Significant +","Other","#B54D17","<i style='color:#B54D17'>Roe11_F</i>"
"Roe10_F","Evergreen Needleleaf Forest",-3.44497750301511,1.00678092353152,"Significant -","Landuse","#E79559","<i style='color:#E79559'>Roe10_F</i>"
"Roe10_F","Cropland",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe10_F</i>"
"Roe10_F","Tall Grassland",-1.09155519762442,0.112540110033505,"Significant -","Landuse","#E79559","<i style='color:#E79559'>Roe10_F</i>"
"Roe10_F","Short Grassland",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe10_F</i>"
"Roe10_F","Open Shrubland",-0.221771920523841,0.116117098996641,"Significant -","Landuse","#E79559","<i style='color:#E79559'>Roe10_F</i>"
"Roe10_F","Barren",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe10_F</i>"
"Roe10_F","Permanent Wetland",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe10_F</i>"
"Roe10_F","Human Settlements",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe10_F</i>"
"Roe10_F","Other",-2.91794346481077,0.50001873006584,"Significant -","Landuse","#E79559","<i style='color:#E79559'>Roe10_F</i>"
"Roe10_F","Distance to Woodland",0.00557539761092727,0.000809273770163754,"Significant +","Distance","#B54D17","<i style='color:#B54D17'>Roe10_F</i>"
"Roe10_F","Distance to Hedges",-0.00366632197961215,0.000332125655713013,"Significant -","Distance","#E79559","<i style='color:#E79559'>Roe10_F</i>"
"Roe10_F","Road Crossing",-1.60425645443292,0.200503718710651,"Significant -","Other","#E79559","<i style='color:#E79559'>Roe10_F</i>"
"Roe10_F","sl_",0.0011891267346957,0.00042629250278739,"Significant +","Step","#B54D17","<i style='color:#B54D17'>Roe10_F</i>"
"Roe10_F","log sl_ ",0.0401826723274222,0.0442402619286124,"Not Significant","Step","#505050","<i style='color:#505050'>Roe10_F</i>"
"Roe10_F","cos ta_ ",-0.798063551969676,0.0366046742111298,"Significant -","Other","#E79559","<i style='color:#E79559'>Roe10_F</i>"
"Roe09_M","Evergreen Needleleaf Forest",0.101442042227365,0.0796004854645477,"Significant +","Landuse","#B54D17","<i style='color:#B54D17'>Roe09_M</i>"
"Roe09_M","Cropland",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe09_M</i>"
"Roe09_M","Tall Grassland",0.128759803429322,0.134214235293017,"Not Significant","Landuse","#505050","<i style='color:#505050'>Roe09_M</i>"
"Roe09_M","Short Grassland",-0.668644121854497,0.191792047200833,"Significant -","Landuse","#E79559","<i style='color:#E79559'>Roe09_M</i>"
"Roe09_M","Open Shrubland",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe09_M</i>"
"Roe09_M","Barren",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe09_M</i>"
"Roe09_M","Permanent Wetland",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe09_M</i>"
"Roe09_M","Human Settlements",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe09_M</i>"
"Roe09_M","Other",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe09_M</i>"
"Roe09_M","Distance to Woodland",-0.00239278751822937,0.000288799234718982,"Significant -","Distance","#E79559","<i style='color:#E79559'>Roe09_M</i>"
"Roe09_M","Distance to Hedges",0.000140685906329827,0.000185023526193298,"Not Significant","Distance","#505050","<i style='color:#505050'>Roe09_M</i>"
"Roe09_M","Road Crossing",17.9569858108483,888.360065199611,"Not Significant","Other","#505050","<i style='color:#505050'>Roe09_M</i>"
"Roe09_M","sl_",-0.000393553349917048,0.000338865653888359,"Significant -","Step","#E79559","<i style='color:#E79559'>Roe09_M</i>"
"Roe09_M","log sl_ ",0.0730651640666801,0.0447331309508088,"Significant +","Step","#B54D17","<i style='color:#B54D17'>Roe09_M</i>"
"Roe09_M","cos ta_ ",-0.0604237936518118,0.0357344909316342,"Significant -","Other","#E79559","<i style='color:#E79559'>Roe09_M</i>"
"Roe08_M","Evergreen Needleleaf Forest",-1.13239090337811,0.533417210436444,"Significant -","Landuse","#E79559","<i style='color:#E79559'>Roe08_M</i>"
"Roe08_M","Cropland",-0.518036208526335,0.0946063730807508,"Significant -","Landuse","#E79559","<i style='color:#E79559'>Roe08_M</i>"
"Roe08_M","Tall Grassland",-0.68432536890976,0.0996607531226394,"Significant -","Landuse","#E79559","<i style='color:#E79559'>Roe08_M</i>"
"Roe08_M","Short Grassland",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe08_M</i>"
"Roe08_M","Open Shrubland",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe08_M</i>"
"Roe08_M","Barren",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe08_M</i>"
"Roe08_M","Permanent Wetland",-14.1361758497436,798.943671392909,"Not Significant","Landuse","#505050","<i style='color:#505050'>Roe08_M</i>"
"Roe08_M","Human Settlements",-1.61187290329961,0.725793806383822,"Significant -","Landuse","#E79559","<i style='color:#E79559'>Roe08_M</i>"
"Roe08_M","Other",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe08_M</i>"
"Roe08_M","Distance to Woodland",0.000113834923804134,0.000287192974501925,"Not Significant","Distance","#505050","<i style='color:#505050'>Roe08_M</i>"
"Roe08_M","Distance to Hedges",-0.00150177778338372,0.000349833186187234,"Significant -","Distance","#E79559","<i style='color:#E79559'>Roe08_M</i>"
"Roe08_M","Road Crossing",-0.640685563641257,0.0875734265402885,"Significant -","Other","#E79559","<i style='color:#E79559'>Roe08_M</i>"
"Roe08_M","sl_",0.000777527139200645,0.000270509782852871,"Significant +","Step","#B54D17","<i style='color:#B54D17'>Roe08_M</i>"
"Roe08_M","log sl_ ",-0.00496676418036019,0.0401522214904218,"Not Significant","Step","#505050","<i style='color:#505050'>Roe08_M</i>"
"Roe08_M","cos ta_ ",-0.585312355259645,0.0360628381241285,"Significant -","Other","#E79559","<i style='color:#E79559'>Roe08_M</i>"
"Roe07_F","Evergreen Needleleaf Forest",0.555571740608229,0.188686082721106,"Significant +","Landuse","#B54D17","<i style='color:#B54D17'>Roe07_F</i>"
"Roe07_F","Cropland",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe07_F</i>"
"Roe07_F","Tall Grassland",0.0465190146177273,1.05412502213884,"Not Significant","Landuse","#505050","<i style='color:#505050'>Roe07_F</i>"
"Roe07_F","Short Grassland",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe07_F</i>"
"Roe07_F","Open Shrubland",0.740907472349399,0.289369724899289,"Significant +","Landuse","#B54D17","<i style='color:#B54D17'>Roe07_F</i>"
"Roe07_F","Barren",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe07_F</i>"
"Roe07_F","Permanent Wetland",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe07_F</i>"
