"Ptch_ID","normalized_cum_currmap","buffer","summaryMethod"
952,1.94865102849192,0,"mean"
1817,1.56124455433728,0,"mean"
2241,1.40564657250344,0,"mean"
2340,1.57410066733024,0,"mean"
2140,1.03129466862667,0,"mean"
1550,1.4493363076252,0,"mean"
1504,1.52025168570804,0,"mean"
1717,1.1981593273295,0,"mean"
1678,1.52989922535239,0,"mean"
1249,1.12014326662539,0,"mean"
2120,1.60004496457935,0,"mean"
1185,1.16508480754948,0,"mean"
2109,1.4162526280273,0,"mean"
2638,0.829115693931155,0,"mean"
716,1.61694572044225,0,"mean"
2351,1.01123769565129,0,"mean"
987,1.35719438714722,0,"mean"
697,1.33093534653604,0,"mean"
708,1.66546927434508,0,"mean"
254,1.09631851010659,0,"mean"
1969,1.55481593849842,0,"mean"
1432,1.06276764100318,0,"mean"
1526,1.25561527698245,0,"mean"
972,1.10441174621922,0,"mean"
1751,1.09147850320918,0,"mean"
1818,1.23971714724376,0,"mean"
1981,1.37718801227843,0,"mean"
652,1.30145109520517,0,"mean"
1341,1.41788497127603,0,"mean"
1215,1.39816912967554,0,"mean"
952,0.999766789868375,750,"mean"
1817,1.00334872942206,750,"mean"
2241,0.957952113252611,750,"mean"
2340,1.02085820069495,750,"mean"
2140,0.993550907057034,750,"mean"
1550,1.01753021989379,750,"mean"
1504,1.03288157219165,750,"mean"
1717,1.10558534741872,750,"mean"
1678,0.994493455134996,750,"mean"
1249,0.974962133768461,750,"mean"
2120,1.00768141703291,750,"mean"
1185,0.887734500148291,750,"mean"
2109,0.898999346051773,750,"mean"
2638,0.739624531250046,750,"mean"
716,0.940657235409597,750,"mean"
2351,0.878149127245382,750,"mean"
987,0.916573408025953,750,"mean"
697,0.983315809564264,750,"mean"
708,0.91320949375123,750,"mean"
254,1.0820979496254,750,"mean"
1969,1.00188394185524,750,"mean"
1432,0.94302452937169,750,"mean"
1526,0.993017702578892,750,"mean"
972,0.962203227915772,750,"mean"
1751,0.960575641412605,750,"mean"
1818,0.985634269585482,750,"mean"
1981,0.929621719919888,750,"mean"
652,0.983264641235857,750,"mean"
1341,0.964924196010565,750,"mean"
1215,0.95513497232945,750,"mean"
