"Ptch_ID","normalized_cum_currmap","buffer","summaryMethod"
1939,1.33105953581578,0,"mean"
2331,1.33501846202687,0,"mean"
2226,1.24092313615323,0,"mean"
2765,1.28109933434454,0,"mean"
2034,1.24385070606071,0,"mean"
2290,1.30775080447495,0,"mean"
4209,1.21727793855166,0,"mean"
4210,1.2767359098914,0,"mean"
4262,1.29161797895407,0,"mean"
3953,1.36446192736878,0,"mean"
4341,1.25736694468629,0,"mean"
3222,1.22231680073998,0,"mean"
3633,1.38477988373379,0,"mean"
3311,1.31077534771175,0,"mean"
3213,1.26338529926877,0,"mean"
4893,0.979808938475724,0,"mean"
5035,0.864979550273385,0,"mean"
5044,1.26350678545243,0,"mean"
5229,1.18659125262465,0,"mean"
5514,1.20990920223907,0,"mean"
5074,1.30105357819631,0,"mean"
3147,1.2486935955654,0,"mean"
3839,1.27248487073074,0,"mean"
3894,1.29845742250453,0,"mean"
4482,1.0546425745535,0,"mean"
5193,1.0603813451075,0,"mean"
4678,1.10071686623028,0,"mean"
4850,1.15278943001667,0,"mean"
4482,0.869487908931535,0,"mean"
5420,1.1079037690968,0,"mean"
1939,1.33105953581578,0,"mean"
2331,1.33501846202687,0,"mean"
2226,1.24092313615323,0,"mean"
2765,1.28109933434454,0,"mean"
2034,1.24385070606071,0,"mean"
2290,1.30775080447495,0,"mean"
4209,1.21727793855166,0,"mean"
4210,1.2767359098914,0,"mean"
4262,1.29161797895407,0,"mean"
3953,1.36446192736878,0,"mean"
4341,1.25736694468629,0,"mean"
3222,1.22231680073998,0,"mean"
3633,1.38477988373379,0,"mean"
3311,1.31077534771175,0,"mean"
3213,1.26338529926877,0,"mean"
4893,0.979808938475724,0,"mean"
5035,0.864979550273385,0,"mean"
5044,1.26350678545243,0,"mean"
5229,1.18659125262465,0,"mean"
5514,1.20990920223907,0,"mean"
5074,1.30105357819631,0,"mean"
3147,1.2486935955654,0,"mean"
3839,1.27248487073074,0,"mean"
3894,1.29845742250453,0,"mean"
4482,1.0546425745535,0,"mean"
5193,1.0603813451075,0,"mean"
4678,1.10071686623028,0,"mean"
4850,1.15278943001667,0,"mean"
4482,0.869487908931535,0,"mean"
5420,1.1079037690968,0,"mean"
1939,1.17589667991546,750,"mean"
2331,1.09485963303054,750,"mean"
2226,1.04116092161473,750,"mean"
2765,1.01311616858338,750,"mean"
2034,1.04504820647414,750,"mean"
2290,1.04894401009329,750,"mean"
4209,1.04190852704653,750,"mean"
4210,1.0706959634782,750,"mean"
4262,1.03932867905682,750,"mean"
3953,1.04482213409791,750,"mean"
4341,1.11404920474474,750,"mean"
3222,1.05272280845686,750,"mean"
3633,1.04778952359162,750,"mean"
3311,1.02943319129053,750,"mean"
3213,1.03527756970638,750,"mean"
4893,0.909195706092501,750,"mean"
5035,0.765871825788628,750,"mean"
5044,1.06025646167436,750,"mean"
5229,0.950908110205812,750,"mean"
5514,1.0027652653232,750,"mean"
5074,1.02527468761958,750,"mean"
3147,1.20204829500872,750,"mean"
3839,1.21134541586071,750,"mean"
3894,1.05780778806015,750,"mean"
4482,1.07675045309273,750,"mean"
5193,0.982011112561334,750,"mean"
4678,1.006095170438,750,"mean"
4850,1.08035820468649,750,"mean"
4482,0.85801466519262,750,"mean"
5420,0.906486902883885,750,"mean"
1939,1.17589667991546,750,"mean"
2331,1.09485963303054,750,"mean"
2226,1.04116092161473,750,"mean"
2765,1.01311616858338,750,"mean"
2034,1.04504820647414,750,"mean"
2290,1.04894401009329,750,"mean"
4209,1.04190852704653,750,"mean"
4210,1.0706959634782,750,"mean"
4262,1.03932867905682,750,"mean"
3953,1.04482213409791,750,"mean"
4341,1.11404920474474,750,"mean"
3222,1.05272280845686,750,"mean"
3633,1.04778952359162,750,"mean"
3311,1.02943319129053,750,"mean"
3213,1.03527756970638,750,"mean"
4893,0.909195706092501,750,"mean"
5035,0.765871825788628,750,"mean"
5044,1.06025646167436,750,"mean"
5229,0.950908110205812,750,"mean"
5514,1.0027652653232,750,"mean"
5074,1.02527468761958,750,"mean"
3147,1.20204829500872,750,"mean"
3839,1.21134541586071,750,"mean"
3894,1.05780778806015,750,"mean"
4482,1.07675045309273,750,"mean"
5193,0.982011112561334,750,"mean"
4678,1.006095170438,750,"mean"
4850,1.08035820468649,750,"mean"
4482,0.85801466519262,750,"mean"
5420,0.906486902883885,750,"mean"
