"low","est","high","variable","Animal_ID","DOF_area"
-524986723559512,0.00122873309814351,524986723559512,"Open_Shrubland (1/Open_Shrubland)","Roe06_F",216.14265557819
-1.05095051368851,-0.00919179640808807,1.03256692087233,"Tall_Grassland (1/Tall_Grassland)","Roe06_F",216.14265557819
-0.00796761546256653,-0.00445537216075417,-0.000943128858941815,"distanceWoodland (1/distanceWoodland)","Roe06_F",216.14265557819
-160881181029988,0,160881181029988,"Open_Shrubland (1/Open_Shrubland)","Roe13_F",4.51578983951982
-4.45819646157633,0,4.45819646157633,"Tall_Grassland (1/Tall_Grassland)","Roe13_F",4.51578983951982
-0.0446848903366061,0,0.0446848903366061,"distanceWoodland (1/distanceWoodland)","Roe13_F",4.51578983951982
-526123889.343655,-0.0295916613479161,526123889.284472,"Open_Shrubland (1/Open_Shrubland)","Roe15_F",5438.12066691492
-0.0885490421431986,-0.00751512599024989,0.0735187901626988,"Tall_Grassland (1/Tall_Grassland)","Roe15_F",5438.12066691492
0.00505812132651444,0.00642442235032381,0.00779072337413318,"distanceWoodland (1/distanceWoodland)","Roe15_F",5438.12066691492
-0.593619763019284,0.0134472876134915,0.620514338246267,"Open_Shrubland (1/Open_Shrubland)","Roe05_F",77.5341395965234
-0.882024663637531,-0.212430635879367,0.457163391878797,"Tall_Grassland (1/Tall_Grassland)","Roe05_F",77.5341395965234
-0.0251799077715069,-0.0187157407595219,-0.0122515737475369,"distanceWoodland (1/distanceWoodland)","Roe05_F",77.5341395965234
-401311598.603307,0.047246201991543,401311598.697799,"Open_Shrubland (1/Open_Shrubland)","Roe10_F",0.507767136612569
-2.76717253737459,-0.0928697121006724,2.58143311317324,"Tall_Grassland (1/Tall_Grassland)","Roe10_F",0.507767136612569
-0.0508557667158236,-0.0100434779836388,0.0307688107485461,"distanceWoodland (1/distanceWoodland)","Roe10_F",0.507767136612569
-1722705783729108,0.00891843352293093,1722705783729108,"Open_Shrubland (1/Open_Shrubland)","Roe09_M",8.82542995451777
-2.82115208065091,0.00149409725486286,2.82414027516064,"Tall_Grassland (1/Tall_Grassland)","Roe09_M",8.82542995451777
-0.00521243866505752,-0.0027554299256739,-0.000298421186290284,"distanceWoodland (1/distanceWoodland)","Roe09_M",8.82542995451777
-0.177955857009699,0.00240629669985483,0.182768450409409,"Open_Shrubland (1/Open_Shrubland)","Roe01_F",361.054528514899
-0.360623278438797,-0.00295967173724542,0.354703934964306,"Tall_Grassland (1/Tall_Grassland)","Roe01_F",361.054528514899
-0.00193691668766664,-0.000443148774654447,0.00105061913835775,"distanceWoodland (1/distanceWoodland)","Roe01_F",361.054528514899
-0.410639243742382,0,0.410639243742382,"Open_Shrubland (1/Open_Shrubland)","Roe02_F",222.172940682538
-0.384251752841379,0,0.384251752841379,"Tall_Grassland (1/Tall_Grassland)","Roe02_F",222.172940682538
-0.0033593319185792,0,0.0033593319185792,"distanceWoodland (1/distanceWoodland)","Roe02_F",222.172940682538
-372025851.050522,0.353816184486664,372025851.758155,"Open_Shrubland (1/Open_Shrubland)","Roe04_F",17.9001774944382
-0.671950217581363,-0.00642073244682705,0.659108752687709,"Tall_Grassland (1/Tall_Grassland)","Roe04_F",17.9001774944382
-0.00908288704535275,-0.00138430659959442,0.00631427384616392,"distanceWoodland (1/distanceWoodland)","Roe04_F",17.9001774944382
-633481613577162,-0.00459034027933532,633481613577162,"Open_Shrubland (1/Open_Shrubland)","Roe08_M",10.5091364489038
-0.11952142869353,0.00263160100646337,0.124784630706457,"Tall_Grassland (1/Tall_Grassland)","Roe08_M",10.5091364489038
-0.00994381796480854,-0.00105094764236021,0.00784192268008812,"distanceWoodland (1/distanceWoodland)","Roe08_M",10.5091364489038
-376468105368091,0.00499814493016962,376468105368091,"Open_Shrubland (1/Open_Shrubland)","Roe11_F",9.68503488869715
-0.903579607802866,0.0185473315327745,0.940674270868415,"Tall_Grassland (1/Tall_Grassland)","Roe11_F",9.68503488869715
-0.0125073321127878,-0.00495116068886811,0.00260501073505159,"distanceWoodland (1/distanceWoodland)","Roe11_F",9.68503488869715
-180066848952216,-0.877322025348825,180066848952214,"Open_Shrubland (1/Open_Shrubland)","Roe12_F",6.14589581137734
-1.62954705862531,-0.352206453786759,0.925134151051793,"Tall_Grassland (1/Tall_Grassland)","Roe12_F",6.14589581137734
-0.029292824032616,-0.00938700759006989,0.0105188088524762,"distanceWoodland (1/distanceWoodland)","Roe12_F",6.14589581137734
-372025777.007108,0.179568263118077,372025777.366245,"Open_Shrubland (1/Open_Shrubland)","Roe14_M",23.8884980154902
-2.48858994524652,-0.0582576172797577,2.372074710687,"Tall_Grassland (1/Tall_Grassland)","Roe14_M",23.8884980154902
-0.0611168603652476,-0.0180374505749415,0.0250419592153646,"distanceWoodland (1/distanceWoodland)","Roe14_M",23.8884980154902
