"low","est","high","level","unit","Animal_ID","region","Sex","DOF_area","bestModel"
54.1467274603476,58.5616753794458,63.1471838597898,0.9,"area (hectares)","Roe01_F","Aberdeenshire","F",650.334719519269,"OU anisotropic"
70.8029350866069,76.5759759625412,82.5720439522575,0.95,"area (hectares)","Roe01_F","Aberdeenshire","F",650.334719519269,"OU anisotropic"
105.171035952058,113.746339910473,122.652929465639,0.99,"area (hectares)","Roe01_F","Aberdeenshire","F",650.334719519269,"OU anisotropic"
50.4299177449691,54.3839137006479,58.4850152786255,0.9,"area (hectares)","Roe02_F","Aberdeenshire","F",700.239614502529,"OU anisotropic"
67.725258795655,73.0353090862295,78.5429160412995,0.95,"area (hectares)","Roe02_F","Aberdeenshire","F",700.239614502529,"OU anisotropic"
102.291092158545,110.311302834721,118.629899775251,0.99,"area (hectares)","Roe02_F","Aberdeenshire","F",700.239614502529,"OU anisotropic"
32.6554132971241,36.0163943799817,39.5396350097317,0.9,"area (hectares)","Roe04_F","Aberdeenshire","F",420.402932822452,"OU anisotropic"
41.8174162825222,46.1213748262628,50.6331174502868,0.95,"area (hectares)","Roe04_F","Aberdeenshire","F",420.402932822452,"OU anisotropic"
62.2626611237209,68.6708980766927,75.3885082747781,0.99,"area (hectares)","Roe04_F","Aberdeenshire","F",420.402932822452,"OU anisotropic"
63.2191905120582,74.5071782676248,86.708721174207,0.9,"area (hectares)","Roe05_F","Aberdeenshire","F",154.42255308021,"OUF anisotropic"
78.9547244318111,93.0523418706238,108.290902346155,0.95,"area (hectares)","Roe05_F","Aberdeenshire","F",154.42255308021,"OUF anisotropic"
111.053147287697,130.882040328672,152.315717833343,0.99,"area (hectares)","Roe05_F","Aberdeenshire","F",154.42255308021,"OUF anisotropic"
20.107256996026,21.7355764822863,23.42639026421,0.9,"area (hectares)","Roe06_F","Aberdeenshire","F",658.769471418374,"OU anisotropic"
29.7784285500446,32.189935772926,34.6939957452233,0.95,"area (hectares)","Roe06_F","Aberdeenshire","F",658.769471418374,"OU anisotropic"
71.9803222914484,77.809409841164,83.8622156008825,0.99,"area (hectares)","Roe06_F","Aberdeenshire","F",658.769471418374,"OU anisotropic"
80.9367475770885,90.7293649188275,101.073109809027,0.9,"area (hectares)","Roe08_M","Aberdeenshire","M",311.778080474597,"OU anisotropic"
105.947021277291,118.765656432816,132.305723124094,0.95,"area (hectares)","Roe08_M","Aberdeenshire","M",311.778080474597,"OU anisotropic"
161.066179676876,180.553736460266,201.138051037891,0.99,"area (hectares)","Roe08_M","Aberdeenshire","M",311.778080474597,"OU anisotropic"
38.1626992936093,40.9881613465149,43.9130924958313,0.9,"area (hectares)","Roe09_M","Aberdeenshire","M",780.513367250021,"OU anisotropic"
51.2334077747639,55.0265893942014,58.953308233797,0.95,"area (hectares)","Roe09_M","Aberdeenshire","M",780.513367250021,"OU anisotropic"
78.6790089328734,84.5041879221722,90.5344396675891,0.99,"area (hectares)","Roe09_M","Aberdeenshire","M",780.513367250021,"OU anisotropic"
36.2820706361189,40.6953824979865,45.3583308817959,0.9,"area (hectares)","Roe10_F","Aberdeenshire","F",308.734988301508,"OU anisotropic"
47.540413223267,53.3231777104588,59.433041042911,0.95,"area (hectares)","Roe10_F","Aberdeenshire","F",308.734988301508,"OU anisotropic"
68.6994785935829,77.0560089256568,85.8852217313227,0.99,"area (hectares)","Roe10_F","Aberdeenshire","F",308.734988301508,"OU anisotropic"
30.4404992409239,35.0608843842666,40.0029517215791,0.9,"area (hectares)","Roe11_F","Aberdeenshire","F",206.392718520227,"OU anisotropic"
36.6270669618355,42.186474995695,48.1329422287386,0.95,"area (hectares)","Roe11_F","Aberdeenshire","F",206.392718520227,"OU anisotropic"
50.8176682292038,58.5309845400572,66.7813202630762,0.99,"area (hectares)","Roe11_F","Aberdeenshire","F",206.392718520227,"OU anisotropic"
23.6163158255456,26.0618246071624,28.626083023404,0.9,"area (hectares)","Roe12_F","Aberdeenshire","F",415.66882223044,"OUF anisotropic"
30.7000954278894,33.8791413688386,37.2125562275285,0.95,"area (hectares)","Roe12_F","Aberdeenshire","F",415.66882223044,"OUF anisotropic"
46.2687912679785,51.060001556513,56.083864647381,0.99,"area (hectares)","Roe12_F","Aberdeenshire","F",415.66882223044,"OUF anisotropic"
46.2247265784098,49.3514887599578,52.5791277775296,0.9,"area (hectares)","Roe13_F","Aberdeenshire","F",926.670212119604,"OU anisotropic"
62.3366552943324,66.5532707451105,70.9059243083851,0.95,"area (hectares)","Roe13_F","Aberdeenshire","F",926.670212119604,"OU anisotropic"
112.348407056814,119.94794904105,127.792670449266,0.99,"area (hectares)","Roe13_F","Aberdeenshire","F",926.670212119604,"OU anisotropic"
72.7649082119185,83.2504403247908,94.431452456666,0.9,"area (hectares)","Roe14_M","Aberdeenshire","M",226.680414831885,"OU anisotropic"
107.103969061336,122.537811205931,138.995342822121,0.95,"area (hectares)","Roe14_M","Aberdeenshire","M",226.680414831885,"OU anisotropic"
195.447999579247,223.612348663785,253.64477099684,0.99,"area (hectares)","Roe14_M","Aberdeenshire","M",226.680414831885,"OU anisotropic"
23.7628433717737,25.4949062124038,27.2870331570236,0.9,"area (hectares)","Roe15_F","Aberdeenshire","F",803.988183956119,"OU anisotropic"
30.9011702615178,33.1535425010088,35.4840220223162,0.95,"area (hectares)","Roe15_F","Aberdeenshire","F",803.988183956119,"OU anisotropic"
49.1252001759912,52.7059136635201,56.4107983659886,0.99,"area (hectares)","Roe15_F","Aberdeenshire","F",803.988183956119,"OU anisotropic"
